DateTime,Date,Time,Month,Year,Day of Week,Hour,Accident Location,PCF Description,PCF Category,Involved Objects,Party at Fault,Suspected Serious Injury,Suspected Minor Injury,Suspected Possible Injury,Injury Severity,ObjectId,x,y
4/27/2011 1:13:00 AM,2011-04-26,18:13:00,4,2011,1.0,18,Camelia Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8017,-13613851.944772,4562307.99317841
6/14/2023 4:47:00 PM,2023-06-14,09:47:00,6,2023,2.0,9,Camelia Street & San Pablo Avenue,VC 21802(a): Failure to yield when entering through highway,Right of Way,"1 Truck, 1 Car, 1 Fixed Object",Driver,0,0,1,Possible Injury,8018,-13613851.944772,4562307.99317841
6/17/2022 2:36:00 PM,2022-06-17,07:36:00,6,2022,4.0,7,Blake St & Ellsworth Street,VC 22450(a): Failure to stop at stop sign or limit line,"Signs, Signals, Markings","1 Bicycle, 1 Car",Driver,0,0,0,Unspecified Injury,8019,-13610234.9730679,4560180.28225604
1/25/2024 11:56:00 PM,2024-01-25,15:56:00,1,2024,3.0,15,Camelia Street & San Pablo Avenue,VC 22350: Unsafe speed for prevailing conditions,Speed Laws,"1 Truck, 1 Parked Vehicle",Driver,0,0,0,No Injury,8020,-13613851.944772,4562307.99317841
1/29/2024 7:15:00 PM,2024-01-29,11:15:00,1,2024,0.0,11,Camelia Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Truck, 1 Parked Vehicle",Driver,0,0,0,No Injury,8021,-13613851.944772,4562307.99317841
6/22/2025 5:34:00 AM,2025-06-21,22:34:00,6,2025,5.0,22,Camelia St & San Pablo Avenue,VC 21802(a): Failure to yield when entering through highway,Right of Way,"1 Truck, 1 Car, 1 Fixed Object",Driver,0,0,0,No Injury,8022,-13613851.944772,4562307.99317841
7/25/2022 11:50:00 PM,2022-07-25,16:50:00,7,2022,0.0,16,Derby Street & Telegraph Avenue,VC 21950(a): Failure to yield to pedestrian in crosswalk,Pedestrians,1 Pedestrian,Driver,0,0,0,Unspecified Injury,8023,-13609815.3973092,4559862.19513151
10/13/2022 5:06:00 PM,2022-10-13,10:06:00,10,2022,3.0,10,Derby Street & Telegraph Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",2 Car,Driver,0,0,0,No Injury,8024,-13609815.3973092,4559862.19513151
10/29/2022 3:23:00 AM,2022-10-28,20:23:00,10,2022,4.0,20,Derby Street & Telegraph Avenue,VC 21453(a): Failure to stop at red light or stop line,"Signs, Signals, Markings",2 Car,Driver,0,0,0,No Injury,8025,-13609815.3973092,4559862.19513151
2/16/2020 5:09:00 AM,2020-02-15,21:09:00,2,2020,5.0,21,Derby Street & Telegraph Avenue,VC 23152(g): DUI Combined alcohol and drugs,"Alcohol, DUI, Drug Offenses","1 Car, 1 Parked Vehicle, 1 Fixed Object",Driver,0,0,0,No Injury,8026,-13609815.3973092,4559862.19513151
